Date_key,Fecha,Mes,Año,Mes_Año,"Fecha +40d"
42290,2015-10-13,octubre,2015,10.2015,2015-11-22
42291,2015-10-14,octubre,2015,10.2015,2015-11-23
42292,2015-10-15,octubre,2015,10.2015,2015-11-24
42293,2015-10-16,octubre,2015,10.2015,2015-11-25
42294,2015-10-17,octubre,2015,10.2015,2015-11-26
42295,2015-10-18,octubre,2015,10.2015,2015-11-27
42296,2015-10-19,octubre,2015,10.2015,2015-11-28
42297,2015-10-20,octubre,2015,10.2015,2015-11-29
42298,2015-10-21,octubre,2015,10.2015,2015-11-30
42299,2015-10-22,octubre,2015,10.2015,2015-12-01
42300,2015-10-23,octubre,2015,10.2015,2015-12-02
42301,2015-10-24,octubre,2015,10.2015,2015-12-03
42302,2015-10-25,octubre,2015,10.2015,2015-12-04
42303,2015-10-26,octubre,2015,10.2015,2015-12-05
42304,2015-10-27,octubre,2015,10.2015,2015-12-06
42305,2015-10-28,octubre,2015,10.2015,2015-12-07
42306,2015-10-29,octubre,2015,10.2015,2015-12-08
42307,2015-10-30,octubre,2015,10.2015,2015-12-09
42308,2015-10-31,octubre,2015,10.2015,2015-12-10
42309,2015-11-01,noviembre,2015,11.2015,2015-12-11
42310,2015-11-02,noviembre,2015,11.2015,2015-12-12
42311,2015-11-03,noviembre,2015,11.2015,2015-12-13
42312,2015-11-04,noviembre,2015,11.2015,2015-12-14
42313,2015-11-05,noviembre,2015,11.2015,2015-12-15
42314,2015-11-06,noviembre,2015,11.2015,2015-12-16
42315,2015-11-07,noviembre,2015,11.2015,2015-12-17
42316,2015-11-08,noviembre,2015,11.2015,2015-12-18
42317,2015-11-09,noviembre,2015,11.2015,2015-12-19
42318,2015-11-10,noviembre,2015,11.2015,2015-12-20
42319,2015-11-11,noviembre,2015,11.2015,2015-12-21
42320,2015-11-12,noviembre,2015,11.2015,2015-12-22
42321,2015-11-13,noviembre,2015,11.2015,2015-12-23
42322,2015-11-14,noviembre,2015,11.2015,2015-12-24
42323,2015-11-15,noviembre,2015,11.2015,2015-12-25
42324,2015-11-16,noviembre,2015,11.2015,2015-12-26
42325,2015-11-17,noviembre,2015,11.2015,2015-12-27
42326,2015-11-18,noviembre,2015,11.2015,2015-12-28
42327,2015-11-19,noviembre,2015,11.2015,2015-12-29
42328,2015-11-20,noviembre,2015,11.2015,2015-12-30
42329,2015-11-21,noviembre,2015,11.2015,2015-12-31
42330,2015-11-22,noviembre,2015,11.2015,2016-01-01
42331,2015-11-23,noviembre,2015,11.2015,2016-01-02
42332,2015-11-24,noviembre,2015,11.2015,2016-01-03
42333,2015-11-25,noviembre,2015,11.2015,2016-01-04
42334,2015-11-26,noviembre,2015,11.2015,2016-01-05
42335,2015-11-27,noviembre,2015,11.2015,2016-01-06
42336,2015-11-28,noviembre,2015,11.2015,2016-01-07
42337,2015-11-29,noviembre,2015,11.2015,2016-01-08
42338,2015-11-30,noviembre,2015,11.2015,2016-01-09
42339,2015-12-01,diciembre,2015,12.2015,2016-01-10
42340,2015-12-02,diciembre,2015,12.2015,2016-01-11
42341,2015-12-03,diciembre,2015,12.2015,2016-01-12
42342,2015-12-04,diciembre,2015,12.2015,2016-01-13
42343,2015-12-05,diciembre,2015,12.2015,2016-01-14
42344,2015-12-06,diciembre,2015,12.2015,2016-01-15
42345,2015-12-07,diciembre,2015,12.2015,2016-01-16
42346,2015-12-08,diciembre,2015,12.2015,2016-01-17
42347,2015-12-09,diciembre,2015,12.2015,2016-01-18
42348,2015-12-10,diciembre,2015,12.2015,2016-01-19
42349,2015-12-11,diciembre,2015,12.2015,2016-01-20
42350,2015-12-12,diciembre,2015,12.2015,2016-01-21
42351,2015-12-13,diciembre,2015,12.2015,2016-01-22
42352,2015-12-14,diciembre,2015,12.2015,2016-01-23
42353,2015-12-15,diciembre,2015,12.2015,2016-01-24
42354,2015-12-16,diciembre,2015,12.2015,2016-01-25
42355,2015-12-17,diciembre,2015,12.2015,2016-01-26
42356,2015-12-18,diciembre,2015,12.2015,2016-01-27
42357,2015-12-19,diciembre,2015,12.2015,2016-01-28
42358,2015-12-20,diciembre,2015,12.2015,2016-01-29
42359,2015-12-21,diciembre,2015,12.2015,2016-01-30
42360,2015-12-22,diciembre,2015,12.2015,2016-01-31
42361,2015-12-23,diciembre,2015,12.2015,2016-02-01
42362,2015-12-24,diciembre,2015,12.2015,2016-02-02
42363,2015-12-25,diciembre,2015,12.2015,2016-02-03
42364,2015-12-26,diciembre,2015,12.2015,2016-02-04
42365,2015-12-27,diciembre,2015,12.2015,2016-02-05
42366,2015-12-28,diciembre,2015,12.2015,2016-02-06
42367,2015-12-29,diciembre,2015,12.2015,2016-02-07
42368,2015-12-30,diciembre,2015,12.2015,2016-02-08
42369,2015-12-31,diciembre,2015,12.2015,2016-02-09
42370,2016-01-01,enero,2016,1.2016,2016-02-10
42371,2016-01-02,enero,2016,1.2016,2016-02-11
42372,2016-01-03,enero,2016,1.2016,2016-02-12
42373,2016-01-04,enero,2016,1.2016,2016-02-13
42374,2016-01-05,enero,2016,1.2016,2016-02-14
42375,2016-01-06,enero,2016,1.2016,2016-02-15
42376,2016-01-07,enero,2016,1.2016,2016-02-16
42377,2016-01-08,enero,2016,1.2016,2016-02-17
42378,2016-01-09,enero,2016,1.2016,2016-02-18
42379,2016-01-10,enero,2016,1.2016,2016-02-19
42380,2016-01-11,enero,2016,1.2016,2016-02-20
42381,2016-01-12,enero,2016,1.2016,2016-02-21
42382,2016-01-13,enero,2016,1.2016,2016-02-22
42383,2016-01-14,enero,2016,1.2016,2016-02-23
42384,2016-01-15,enero,2016,1.2016,2016-02-24
42385,2016-01-16,enero,2016,1.2016,2016-02-25
42386,2016-01-17,enero,2016,1.2016,2016-02-26
42387,2016-01-18,enero,2016,1.2016,2016-02-27
42388,2016-01-19,enero,2016,1.2016,2016-02-28
42389,2016-01-20,enero,2016,1.2016,2016-02-29
42390,2016-01-21,enero,2016,1.2016,2016-03-01
42391,2016-01-22,enero,2016,1.2016,2016-03-02
42392,2016-01-23,enero,2016,1.2016,2016-03-03
42393,2016-01-24,enero,2016,1.2016,2016-03-04
42394,2016-01-25,enero,2016,1.2016,2016-03-05
42395,2016-01-26,enero,2016,1.2016,2016-03-06
42396,2016-01-27,enero,2016,1.2016,2016-03-07
42397,2016-01-28,enero,2016,1.2016,2016-03-08
42398,2016-01-29,enero,2016,1.2016,2016-03-09
42399,2016-01-30,enero,2016,1.2016,2016-03-10
42400,2016-01-31,enero,2016,1.2016,2016-03-11
42401,2016-02-01,febrero,2016,2.2016,2016-03-12
42402,2016-02-02,febrero,2016,2.2016,2016-03-13
42403,2016-02-03,febrero,2016,2.2016,2016-03-14
42404,2016-02-04,febrero,2016,2.2016,2016-03-15
42405,2016-02-05,febrero,2016,2.2016,2016-03-16
42406,2016-02-06,febrero,2016,2.2016,2016-03-17
42407,2016-02-07,febrero,2016,2.2016,2016-03-18
42408,2016-02-08,febrero,2016,2.2016,2016-03-19
42409,2016-02-09,febrero,2016,2.2016,2016-03-20
42410,2016-02-10,febrero,2016,2.2016,2016-03-21
42411,2016-02-11,febrero,2016,2.2016,2016-03-22
42412,2016-02-12,febrero,2016,2.2016,2016-03-23
42413,2016-02-13,febrero,2016,2.2016,2016-03-24
42414,2016-02-14,febrero,2016,2.2016,2016-03-25
42415,2016-02-15,febrero,2016,2.2016,2016-03-26
42416,2016-02-16,febrero,2016,2.2016,2016-03-27
42417,2016-02-17,febrero,2016,2.2016,2016-03-28
42418,2016-02-18,febrero,2016,2.2016,2016-03-29
42419,2016-02-19,febrero,2016,2.2016,2016-03-30
42420,2016-02-20,febrero,2016,2.2016,2016-03-31
42421,2016-02-21,febrero,2016,2.2016,2016-04-01
42422,2016-02-22,febrero,2016,2.2016,2016-04-02
42423,2016-02-23,febrero,2016,2.2016,2016-04-03
42424,2016-02-24,febrero,2016,2.2016,2016-04-04
42425,2016-02-25,febrero,2016,2.2016,2016-04-05
42426,2016-02-26,febrero,2016,2.2016,2016-04-06
42427,2016-02-27,febrero,2016,2.2016,2016-04-07
42428,2016-02-28,febrero,2016,2.2016,2016-04-08
42429,2016-02-29,febrero,2016,2.2016,2016-04-09
42430,2016-03-01,marzo,2016,3.2016,2016-04-10
42431,2016-03-02,marzo,2016,3.2016,2016-04-11
42432,2016-03-03,marzo,2016,3.2016,2016-04-12
42433,2016-03-04,marzo,2016,3.2016,2016-04-13
42434,2016-03-05,marzo,2016,3.2016,2016-04-14
42435,2016-03-06,marzo,2016,3.2016,2016-04-15
42436,2016-03-07,marzo,2016,3.2016,2016-04-16
42437,2016-03-08,marzo,2016,3.2016,2016-04-17
42438,2016-03-09,marzo,2016,3.2016,2016-04-18
42439,2016-03-10,marzo,2016,3.2016,2016-04-19
42440,2016-03-11,marzo,2016,3.2016,2016-04-20
42441,2016-03-12,marzo,2016,3.2016,2016-04-21
42442,2016-03-13,marzo,2016,3.2016,2016-04-22
42443,2016-03-14,marzo,2016,3.2016,2016-04-23
42444,2016-03-15,marzo,2016,3.2016,2016-04-24
42445,2016-03-16,marzo,2016,3.2016,2016-04-25
42446,2016-03-17,marzo,2016,3.2016,2016-04-26
42447,2016-03-18,marzo,2016,3.2016,2016-04-27
42448,2016-03-19,marzo,2016,3.2016,2016-04-28
42449,2016-03-20,marzo,2016,3.2016,2016-04-29
42450,2016-03-21,marzo,2016,3.2016,2016-04-30
42451,2016-03-22,marzo,2016,3.2016,2016-05-01
42452,2016-03-23,marzo,2016,3.2016,2016-05-02
42453,2016-03-24,marzo,2016,3.2016,2016-05-03
42454,2016-03-25,marzo,2016,3.2016,2016-05-04
42455,2016-03-26,marzo,2016,3.2016,2016-05-05
42456,2016-03-27,marzo,2016,3.2016,2016-05-06
42457,2016-03-28,marzo,2016,3.2016,2016-05-07
42458,2016-03-29,marzo,2016,3.2016,2016-05-08
42459,2016-03-30,marzo,2016,3.2016,2016-05-09
42460,2016-03-31,marzo,2016,3.2016,2016-05-10
42461,2016-04-01,abril,2016,4.2016,2016-05-11
