"Tipo de Cambio: Euro","","",""
"Del 01/04/2023 al 08/04/2023","","",""
"","","",""
"Fecha","Compra","Venta",""
"03/04/2023","1.08650","1.08660",""
"04/04/2023","1.08940","1.08940",""
"05/04/2023","1.09590","1.09600",""
"","","",""
"En términos de US dólares.","","",""
"","","",""
"","","",""
"Fuente: Banco de Guatemala","","",""
