NIT_;Año_;Precio_final_Escen;Precio_index;Escenario;DIVISA;FECHA;Producto_FK
47912677;2018;11.89;14.794682963;Guatecompras;Q;2/06/2018;2
47912677;2018;11.09;13.799245926;Guatecompras;Q;2/06/2018;2
19554648;2018;8;9.954370370;Guatecompras;Q;2/06/2018;102
41274989;2018;5.4;6.665873016;Guatecompras;Q;2/08/2018;102
47912677;2018;6.5;8.023736038;Guatecompras;Q;2/08/2018;102
2475546K;2018;13;15.924597098;Guatecompras;Q;2/12/2018;5
2475546K;2018;12;14.699628090;Guatecompras;Q;2/12/2018;11
41274989;2018;5.4;6.808466562;Guatecompras;Q;13/02/2018;102
19554648;2018;5.3;6.682383847;Guatecompras;Q;13/02/2018;102
47912677;2018;7.52;9.481420101;Guatecompras;Q;13/02/2018;102
4556984;2018;27.5;34.672746378;Guatecompras;Q;20/02/2018;9
47912677;2018;8.71;10.981804398;Guatecompras;Q;20/02/2018;9
47912677;2018;8.39;10.578339713;Guatecompras;Q;20/02/2018;99
41274989;2018;6.5;8.195376417;Guatecompras;Q;21/02/2018;11
19554648;2018;9.15;11.536568340;Guatecompras;Q;21/02/2018;11
19554648;2018;9.15;11.536568340;Guatecompras;Q;21/02/2018;11
41274989;2018;6.5;8.195376417;Guatecompras;Q;21/02/2018;11
19554648;2018;9.15;11.536568340;Guatecompras;Q;21/02/2018;8
47912677;2018;11.72;14.776894093;Guatecompras;Q;21/02/2018;8
47912677;2018;7.6;9.582286272;Guatecompras;Q;23/02/2018;5
19554648;2018;7.95;10.023575771;Guatecompras;Q;23/02/2018;5
61458228;2018;10.5;13.238684981;Guatecompras;Q;22/02/2018;2
19554648;2018;9.15;11.536568340;Guatecompras;Q;22/02/2018;2
61458228;2018;10;12.608271410;Guatecompras;Q;23/02/2018;11
41274989;2018;5.8;7.312797418;Guatecompras;Q;23/02/2018;11
19554648;2016;9.15;12.248123356;Guatecompras;Q;27/07/2016;5
41274989;2016;6.7;8.968571201;Guatecompras;Q;25/07/2016;5
19554648;2016;9;12.047334449;Guatecompras;Q;25/07/2016;7
19554648;2016;9;12.047334449;Guatecompras;Q;25/07/2016;8
19554648;2016;7.5;10.039445374;Guatecompras;Q;25/07/2016;103
61458228;2016;6.5;8.700852658;Guatecompras;Q;27/07/2016;102
19554648;2017;9.15;11.675911577;Guatecompras;Q;25/10/2017;2
47912677;2017;7.34;9.366250380;Guatecompras;Q;30/10/2017;7
41274989;2017;5.6;7.145913096;Guatecompras;Q;30/10/2017;7
41274989;2016;3.4;4.542888960;Guatecompras;Q;13/08/2016;11
41274989;2017;5.4;6.832055434;Guatecompras;Q;29/11/2017;11
47912677;2017;9.53;12.057312646;Guatecompras;Q;30/11/2017;2
47912677;2017;11.19;14.157537094;Guatecompras;Q;30/11/2017;5
19554648;2018;9.15;11.294951499;Guatecompras;Q;1/08/2018;7
19554648;2018;7;8.589816641;Guatecompras;Q;1/09/2018;100
4123670;2018;14;17.179633282;Guatecompras;Q;1/09/2018;58
41274989;2017;5.2;6.615389276;Guatecompras;Q;11/07/2017;100
47912677;2017;6.76;8.600006059;Guatecompras;Q;11/07/2017;100
2475546K;2018;11;13.687259259;Guatecompras;Q;2/06/2018;2
19554648;2018;10;12.442962963;Guatecompras;Q;2/06/2018;2
47912677;2018;7.28;9.058477037;Guatecompras;Q;2/06/2018;102
19554648;2018;7;8.640946502;Guatecompras;Q;2/08/2018;102
19554648;2018;9.15;11.208466419;Guatecompras;Q;2/12/2018;5
19554648;2018;9;11.024721068;Guatecompras;Q;2/12/2018;11
61458228;2018;7;8.825789987;Guatecompras;Q;13/02/2018;102
19554648;2018;9.15;11.536568340;Guatecompras;Q;20/02/2018;9
19554648;2018;5.75;7.249756061;Guatecompras;Q;20/02/2018;99
47912677;2018;11.72;14.776894093;Guatecompras;Q;21/02/2018;11
47912677;2018;10.35;13.049560910;Guatecompras;Q;21/02/2018;11
61458228;2018;9.9;12.482188696;Guatecompras;Q;23/02/2018;5
47912677;2018;14.84;18.710674773;Guatecompras;Q;22/02/2018;2
47912677;2018;7.6;9.582286272;Guatecompras;Q;23/02/2018;11
19554648;2018;9.15;11.450622067;Guatecompras;Q;4/05/2018;8
47912677;2018;8.85;11.012022222;Guatecompras;Q;4/06/2018;99
19554648;2018;10;12.249690075;Guatecompras;Q;4/12/2018;3
47912677;2017;14.88;18.826108308;Guatecompras;Q;15/11/2017;2
19554648;2017;9.15;11.576538375;Guatecompras;Q;15/11/2017;2
